,users,ratings,shorts,times
112,筷喜旺,5,最后一段可太好看了！！,2017-11-15
113,大水冲了龙王庙,3,虽然某几个故事题材似曾相识，但并未封闭，更容易让全世界观众接受。,2017-05-03
114,嘟嘟熊之父,4,《天注定》是悲天悯人的上帝视角，所有角色都在与社会对抗，水火不容势不两立；《荒蛮故事》则是伺机而动的猎物视角，所有角色唯有苟且生活，在死亡边缘挣扎，求生不得求死不能。两相对比高下立见，这便是符号与人的差别，所谓不破不立，想要鸣不平，得先把自己打碎。,2015-02-26
115,影随茵动,4,脑洞够大，除了公路相杀那个故事略压抑，其他都还好。减掉一星因为是无关联的六个故事，如果设置个内在的联系会更NB。,2017-05-23
116,nomad,2,港译其实很精准,2015-03-25
117,laurenshmm,4,婚礼故事可以独立成篇，太过瘾！,2017-01-05
118,奶奶的熊,5,今天我在Badoo上遇到一个阿根廷姑娘，我说“你们国家的《荒蛮故事》真鸡巴好看，每个人都特别的brutal。”她问“你看黄片吗？我能不能看你的鸡巴？”,2015-03-10
119,沈十六,5,最后一个婚礼的故事，我只想说：我去！我去！我去！爽到爆，感觉导演太牛了！,2018-04-08
120,Mr. Infamous,5,居然是短片集，然而每个故事都像一包爆炸糖，劈里啪啦地，炸着人心中的压抑与愤慨——那么多似曾相识或大同小异的境遇，那种邪念被贯彻后真是何其解气。虽说暴力与蛮荒，但这种幻想的爆炸宣泄，恰恰剑指了官僚主义、贪腐、歧视以及不仁不义，太赞。黑色荒诞，肆无忌惮，爽，喜欢。四星半。,2018-02-22
121,木一,4,叙事风格浅白之余感官刺激强烈，公路戏和结婚现场都是点睛之笔。把兽性与失控摊在无常的命运阳光下，最终却依然相信激情与非理智的力量，倒不如说冲动才是人类的一切。,2016-08-18
122,麦子麦子酱,4,hmmmmmm 完全理解最后一个故事呢🌝🌝🌝🌝,2016-07-31
123,子文东,5,很久没看到这么狂野的电影了~ 完美释放负能量！这才是复仇者联盟好不好？！在我心中昆汀从此被超越！最后那场婚礼尤其棒，多少婚得这么结才能百年好合呐！祝看得开心！！！,2015-06-22
124,李濛Lemon,5,最初以为是升级版《9号秘事》，再往后看发觉本片在人物心理刻画上比《9号秘事》高明不少。当人的情绪先于理性占据大脑，内心让恶念有了可趁之机，他就会一步步地走向失控，最终做出荒诞野蛮却契合真实人性的行为。本片刻画得最好的地方就是文明人走向野蛮的过程。P.S.最后一个故事的结局好温情。,2017-05-07
125,mOco,4,剧作很精巧，视听超娴熟。尤其喜欢炸了该死的交警队（步步推进毫无废话），疑似殉情的路怒司机大厮杀，砍价哪家强的车祸顶包和其实是真爱的血色婚礼。,2017-11-29
126,浮影人生,5,整部影片充满拉美风情又现实无比。单元故事短小精悍，几乎每个故事都令人意犹未尽。六个故事的起因几乎都是每天发生的人们生活中的小事，最终失控皆因放开了人性中恶的闸门而走向了极端。最后一个故事残忍得令人不能直视，但结局却是全片的点睛之笔，提升了整部影片的高度--最终化解一切的是爱与宽容。,2015-03-17
127,btr,3,在IFC看了个院线片。马马虎虎。感觉像一部电视剧集的四个大纲（同质），没有细节，一如其暴力解决一切的粗放态度。黑色幽默的部分也没有太好笑。,2015-04-06
128,林格,4,失控才是常态，压抑其实变态。,2016-09-03
129,火娃,5,9/10。天道好轮回，苍天饶过谁。这导演去拍巴尔扎克的《人间喜剧》一定会很棒！仇人爆云霄、厨娘杀官僚、相搏无人区、爆仇交通局、车祸引贪婪、小三闹婚礼，疯癫人性全程高能，故事走向神鬼难测，万万没想到是合家欢结局，用欲与死让你领悟文明社会的荒蛮真缔，那些装深沉来象征恶的文艺片通通滚边站！,2015-02-28
130,杨大志°,4,电影接地气，完全没有那种象牙塔里放出的圣光一般的俯瞰和孤芳自赏。,2017-05-02
131,刘康康,5,每个故事的脑洞都好有趣,2015-05-17
132,肖浑,3,这哪是什么恶与兽性啊，完全就是一群蠢货和神经病嘛。其中两个故事就是《无人区》和《全民目击》的复制而且还拍得不如国产片好。,2015-12-05
133,谭不爽,4,一点儿都不荒诞，太现实了,2016-01-13
134,probe,4,拉丁狂欢版的天注定，每段因暴力故事背后都暗示着阿根廷社会的现实矛盾。可贵的是，在揭示政府腐败，阶层仇视，拜金主义等显像下，是人性更本质的东西，贪婪，欺骗，怨恨。同时，最后唯一一个用两性间的爱来成功遏制住暴力的表达也颇具拉丁式浪漫的理想主义。影片镜头很成熟自然，音乐尤其具有黑色幽默,2016-06-01
135,韩景峰看电影,4,虽然它看上去更像是短片集，但是电影出色表现出来的累积至爆发的野蛮具有严格的统一，也在情感上成为一部能够超越国界的电影。《蛮荒故事》是一部很暴力的电影，但是暴力显然不是它的主旨，它的主旨在于这些暴力所表现出来的幽默感和荒诞性，然后让观众来思考人类和现实的荒诞。,2015-04-08
136,连城易脆,5,这种荒诞黑色风格的拼盘电影确实很容易收获好评和青睐，而且确实拍得还不错，只是很容易在这6个故事里看到其他故事的一些影子，比如第一个飞机复仇让人想到《东方快车谋杀案》，第三个路怒症则联想到《无人区》，第五个顶包案又有点像《全民目击》，整体风格又类似《天注定》，但是主题上又不算太一致，就是都比较野蛮而荒诞。对人性、社会、制度等各个方面也都涉及到了一定层次的批评和讽刺，总的来说看着是有较大的趣味性的，可以满足很多人内心对于复仇、对于暴力的想象。,2020-02-01
137,木由,5,每一则故事都很戳中我的点，开放式结局不能更棒。尤爱婚礼一则，最后运镜下热吻吻的癫狂新人双双压在餐刀上，地上的蜡像与破碎的蛋糕遥相呼应呼应，开放给我们婚姻的无数种可能性。太喜欢。,2015-10-26
138,彭萦,4,精彩精彩 六个故事都不错,2015-04-05
